ID;Nazwa Atrakcji;Cena;Opis;Kategoria;Miasto
199;Reichstag Building;0;Historyczny budynek parlamentu z imponującą szklaną kopułą.;Zwiedzanie;Berlin
200;Berlin Wall Memorial;0;Miejsce pamięci po upadku muru berlińskiego.;Zwiedzanie;Berlin
201;Pergamon Museum;80;Jedno z najważniejszych muzeów na Museum Island.;Zwiedzanie;Berlin
202;Checkpoint Charlie Museum;59;Muzeum związane z historią Muru Berlińskiego.;Zwiedzanie;Berlin
203;Alexanderplatz;0;Centralny plac z telewizorową wieżą.;Rekreacja;Berlin
204;Berlin Cathedral;42;Imponująca katedra z bogatą historią.;Zwiedzanie;Berlin
205;East Side Gallery;0;Zachowany fragment muru ozdobiony muralami.;Zwiedzanie;Berlin
206;Potsdamer Platz;0;Nowoczesny plac z centrami handlowymi i kinami.;Rozrywka;Berlin
207;Charlottenburg Palace;63;Barokowy pałac z pięknymi ogrodami.;Zwiedzanie;Berlin
208;Gendarmenmarkt;0;Elegancki plac z katedrami i salą koncertową.;Zwiedzanie;Berlin
209;Tiergarten;0;Rozległy park miejski idealny na spacery.;Rekreacja;Berlin
210;Holocaust Memorial;0;Poruszający pomnik upamiętniający ofiary Holokaustu.;Zwiedzanie;Berlin
211;Berlin Zoo;76;Jedno z najstarszych zoo w Europie.;Zwiedzanie;Berlin
212;Kurfürstendamm;0;Słynna ulica handlowa z butikami.;Zakupy;Berlin
213;Berlin TV Tower;72;Najwyższa wieża w Berlinie z tarasem widokowym.;Zwiedzanie;Berlin
214;Jewish Museum Berlin;42;Muzeum prezentujące historię i kulturę żydowską.;Zwiedzanie;Berlin
215;Berlin Philharmonic Tour;50;Wycieczka po słynnym budynku koncertowym.;Rozrywka;Berlin
216;Mauerpark;0;Popularny park z pchlim targiem i ulicznymi występami.;Rekreacja;Berlin
217;Tempelhof Park;0;Były port lotniczy przekształcony w park rekreacyjny.;Rekreacja;Berlin
218;Anne Frank House;50;Muzeum poświęcone pamięci Anne Frank.;Zwiedzanie;Amsterdam
219;Van Gogh Museum;80;Muzeum z największą kolekcją dzieł Van Gogha.;Zwiedzanie;Amsterdam
220;Rijksmuseum;84;Słynne muzeum z dziełami Rembrandta i innych mistrzów.;Zwiedzanie;Amsterdam
221;Canal Cruise;76;Rejs po malowniczych kanałach Amsterdamu.;Rozrywka;Amsterdam
222;Dam Square;0;Centralny plac z Pałacem Królewskim.;Zwiedzanie;Amsterdam
223;Vondelpark;0;Największy park miejski, idealny na pikniki.;Rekreacja;Amsterdam
224;Heineken Experience;88;Interaktywna wycieczka po browarze Heinekena.;Rozrywka;Amsterdam
225;Jordaan District;0;Urokliwa dzielnica z butikami i kafejkami.;Kultura;Amsterdam
226;Royal Palace of Amsterdam;42;Historyczny pałac w centrum miasta.;Zwiedzanie;Amsterdam
227;Red Light District;0;Znana dzielnica z unikalną atmosferą.;Zwiedzanie;Amsterdam
228;Artis Zoo;105;Zoo z szeroką gamą egzotycznych zwierząt.;Zwiedzanie;Amsterdam
229;Stedelijk Museum;76;Muzeum sztuki nowoczesnej i współczesnej.;Zwiedzanie;Amsterdam
230;Rembrandt House Museum;63;Dom-muzeum poświęcone Rembrandtowi.;Zwiedzanie;Amsterdam
231;Begijnhof;0;Spokojny dziedziniec historycznych budynków.;Zwiedzanie;Amsterdam
232;Amsterdam Museum;63;Muzeum prezentujące historię miasta.;Zwiedzanie;Amsterdam
233;NEMO Science Museum;72;Interaktywne muzeum nauki dla wszystkich grup wiekowych.;Zwiedzanie;Amsterdam
234;De Pijp District;0;Modna dzielnica z kawiarniami i sklepami.;Kultura;Amsterdam
235;Concertgebouw;126;Sala koncertowa o doskonałej akustyce.;Rozrywka;Amsterdam
236;Flower Market;0;Pływający targ z kwiatami.;Zakupy;Amsterdam
237;Amsterdamse Bos;0;Rozległy park leśny na obrzeżach miasta.;Rekreacja;Amsterdam
238;Golden Gate Bridge;0;Ikoniczny most nad Zatoką San Francisco.;Zwiedzanie;San Francisco
239;Alcatraz Island;162;Historyczna wyspa z dawnym więzieniem.;Zwiedzanie;San Francisco
240;Fisherman's Wharf;0;Popularna dzielnica z restauracjami rybnymi.;Rozrywka;San Francisco
241;Pier 39;0;Centrum rozrywki z sklepami i atrakcjami morskim.;Rozrywka;San Francisco
242;Golden Gate Park;0;Rozległy park z ogrodami, muzeami i trasami spacerowymi.;Rekreacja;San Francisco
243;Union Square;0;Centralny plac handlowy z butikami.;Zakupy;San Francisco
244;Chinatown SF;0;Tętniąca życiem dzielnica z tradycyjnymi sklepami.;Kultura;San Francisco
245;Lombard Street;0;Kręta ulica słynąca z pięknych ogrodów.;Zwiedzanie;San Francisco
246;Coit Tower;61;Wieża widokowa z panoramicznym widokiem na miasto.;Zwiedzanie;San Francisco
247;Exploratorium;122;Interaktywne muzeum nauki i technologii.;Zwiedzanie;San Francisco
248;SFMOMA;102;Muzeum sztuki nowoczesnej z imponującą kolekcją.;Zwiedzanie;San Francisco
249;Palace of Fine Arts;0;Piękny kompleks architektoniczny nad wodą.;Zwiedzanie;San Francisco
250;Ghirardelli Square;0;Historyczny plac z butikami czekoladowymi.;Zakupy;San Francisco
251;Ferry Building Marketplace;0;Centrum gastronomiczne z lokalnymi przysmakami.;Kulinaria;San Francisco
252;Presidio of San Francisco;0;Były obszar wojskowy przekształcony w park i centrum rekreacyjne.;Rekreacja;San Francisco
253;Oracle Park Tour;142;Wycieczka po stadionie baseballowym.;Rozrywka;San Francisco
254;Twin Peaks;0;Wzgórza z panoramicznym widokiem na miasto.;Rekreacja;San Francisco
255;de Young Museum;102;Muzeum sztuki amerykańskiej z bogatą kolekcją.;Zwiedzanie;San Francisco
256;Japanese Tea Garden;41;Spokojny ogród w stylu japońskim w Golden Gate Park.;Rekreacja;San Francisco
257;Mission District;0;Alternatywna dzielnica słynąca z murali i artystycznego klimatu.;Kultura;San Francisco
258;Hagia Sophia;0;Historyczna budowla, niegdyś kościół i meczet, obecnie muzeum.;Zwiedzanie;Istanbul
259;Blue Mosque;0;Imponujący meczet z sześcioma minaretami.;Zwiedzanie;Istanbul
260;Topkapi Palace;100;Dawna rezydencja sułtanów z licznymi skarbnicami.;Zwiedzanie;Istanbul
261;Grand Bazaar;0;Ogromny targ z tysiącami stoisk z wyrobami rękodzielniczymi.;Zakupy;Istanbul
262;Basilica Cistern;40;Podziemny zbiornik wodny z atmosferą starożytności.;Zwiedzanie;Istanbul
263;Spice Bazaar;0;Targ pełen aromatycznych przypraw i tradycyjnych produktów.;Kulinaria;Istanbul
264;Galata Tower;60;Średniowieczna wieża oferująca panoramiczne widoki na miasto.;Zwiedzanie;Istanbul
265;Dolmabahçe Palace;80;Luksusowy pałac z bogatymi zdobieniami i historią.;Zwiedzanie;Istanbul
266;Taksim Square;0;Centralny plac z licznymi restauracjami i kawiarniami.;Rekreacja;Istanbul
267;Istiklal Avenue;0;Ruchliwa ulica handlowa z kafejkami i butikami.;Zakupy;Istanbul
268;Chora Church;35;Mały zabytkowy kościół z pięknymi mozaikami.;Zwiedzanie;Istanbul
269;Suleymaniye Mosque;0;Imponujący meczet zbudowany przez Sulejmana Wspaniałego.;Zwiedzanie;Istanbul
270;Istanbul Archaeology Museums;45;Muzeum prezentujące skarby starożytności.;Zwiedzanie;Istanbul
271;Pierre Loti Café;20;Tradycyjna kawiarnia z widokiem na Złotą Rzekę.;Kultura;Istanbul
272;Bosphorus Cruise;70;Rejs po Bosforze z widokiem na oba kontynenty.;Rozrywka;Istanbul
273;Rumeli Fortress;50;Historyczna forteca nad Bosforem.;Zwiedzanie;Istanbul
274;Miniaturk;30;Park miniatur z modelami najważniejszych zabytków Turcji.;Zwiedzanie;Istanbul
275;Yildiz Park;0;Rozległy park miejski idealny na spacery.;Rekreacja;Istanbul
276;Istanbul Modern Art Museum;55;Muzeum sztuki współczesnej prezentujące prace tureckich artystów.;Zwiedzanie;Istanbul
277;Jewish Museum Istanbul;0;Muzeum prezentujące historię i kulturę żydowską w mieście.;Zwiedzanie;Istanbul
278;Kremlin;0;Historyczna forteca będąca centrum władzy w Moskwie.;Zwiedzanie;Moskwa
279;Sobór Wasyla Błogosławionego;50;Ikoniczna cerkiew o kolorowych kopułach.;Zwiedzanie;Moskwa
280;Plac Czerwony;0;Centralny plac Moskwy, miejsce historycznych wydarzeń.;Zwiedzanie;Moskwa
281;Pushkin Museum;40;Muzeum sztuki z kolekcjami europejskimi i rosyjskimi.;Zwiedzanie;Moskwa
282;Bolszoj Teatr;120;Słynny teatr operowy i baletowy z bogatą historią.;Rozrywka;Moskwa
283;Nowy Arbat;0;Popularna ulica handlowa z butikami i kawiarniami.;Zakupy;Moskwa
284;GUM;0;Historyczny dom towarowy przy Placu Czerwonym.;Zakupy;Moskwa
285;Ostankino Tower;80;Wieża telewizyjna z tarasem widokowym.;Zwiedzanie;Moskwa
286;History Museum of Russia;60;Muzeum prezentujące historię Rosji.;Zwiedzanie;Moskwa
287;Izba Kopertowa;30;Ekspozycja historycznych monet i skarbów państwowych.;Zwiedzanie;Moskwa
288;Winter Park;0;Park miejski popularny w zimie.;Rekreacja;Moskwa
289;Tsaritsyno Park;40;Historyczny kompleks pałacowy z pięknymi ogrodami.;Rekreacja;Moskwa
290;Garage Museum of Contemporary Art;55;Muzeum sztuki współczesnej w nowoczesnym budynku.;Zwiedzanie;Moskwa
291;Bolshoi Theatre Tour;0;Wycieczka po prestiżowym teatrze operowym.;Rozrywka;Moskwa
292;Museum of Mars;45;Interaktywne muzeum poświęcone badaniom kosmosu.;Zwiedzanie;Moskwa
293;Golden Horn Room;35;Ekspozycja historycznych artefaktów i biżuterii.;Zwiedzanie;Moskwa
294;Old Arbat;0;Urokliwa artystyczna ulica z kawiarniami.;Kultura;Moskwa
295;Moskwa Zoo;70;Jedno z największych zoo w Rosji.;Zwiedzanie;Moskwa
296;Borodino Hill;0;Malownicze miejsce z widokiem na pola bitewne.;Rekreacja;Moskwa
297;Moskwa Contemporary Art Centre;30;Muzeum sztuki współczesnej z nowoczesnymi wystawami.;Zwiedzanie;Moskwa
298;Christ the Redeemer;120;Imponujący posąg Chrystusa na wzgórzu Corcovado.;Zwiedzanie;Rio de Janeiro
299;Copacabana Beach;0;Jedna z najbardziej znanych plaż na świecie.;Plażowanie;Rio de Janeiro
300;Ipanema Beach;0;Modna plaża z klimatycznymi barami i kafejkami.;Plażowanie;Rio de Janeiro
301;Sugarloaf Mountain;100;Góra z zapierającym dech w piersiach widokiem na miasto i zatokę.;Zwiedzanie;Rio de Janeiro
302;Maracanã Stadium;80;Słynny stadion piłkarski o bogatej historii.;Zwiedzanie;Rio de Janeiro
303;Lapa Arches;0;Historyczne łuki akweduktu, symbol artystycznej dzielnicy.;Zwiedzanie;Rio de Janeiro
304;Selarón Steps;0;Kolorowe schody ozdobione mozaikami przez artystę Selaróna.;Zwiedzanie;Rio de Janeiro
305;Tijuca National Park;0;Ogromny park narodowy z bujną roślinnością.;Rekreacja;Rio de Janeiro
306;Rio de Janeiro Botanical Garden;60;Piękny ogród botaniczny z różnorodnymi roślinami.;Zwiedzanie;Rio de Janeiro
307;Museum of Tomorrow;50;Nowoczesne muzeum nauki i technologii eksplorujące przyszłość.;Zwiedzanie;Rio de Janeiro
308;Santa Teresa;0;Artystyczna dzielnica z klimatycznymi uliczkami.;Kultura;Rio de Janeiro
309;Leblon Beach;0;Ekskluzywna plaża popularna wśród mieszkańców.;Plażowanie;Rio de Janeiro
310;Rodrigo de Freitas Lagoon;0;Malownicze jezioro otoczone parkami.;Rekreacja;Rio de Janeiro
311;Boulevard Olímpico;0;Nowoczesna przestrzeń publiczna z muralami.;Kultura;Rio de Janeiro
312;Niterói Contemporary Art Museum;70;Muzeum sztuki współczesnej położone po drugiej stronie zatoki.;Zwiedzanie;Rio de Janeiro
313;Rio Art Museum;55;Muzeum prezentujące dzieła sztuki brazylijskiej.;Zwiedzanie;Rio de Janeiro
314;Forte de Copacabana;30;Historyczna forteca przy plaży Copacabana.;Zwiedzanie;Rio de Janeiro
315;Parque Lage;20;Piękny park z pałacem i malowniczymi alejkami.;Rekreacja;Rio de Janeiro
316;Feira de São Cristóvão;0;Targ prezentujący kulturę północno-wschodniej Brazylii.;Kulinaria;Rio de Janeiro
317;Centro Cultural Banco do Brasil;40;Centrum kulturalne z wystawami i wydarzeniami artystycznymi.;Kultura;Rio de Janeiro
318;Pyramids of Giza;100;Imponujące starożytne piramidy, symbol egipskiej cywilizacji.;Zwiedzanie;Kair
319;Sphinx;0;Mityczny posąg z tajemniczym spojrzeniem.;Zwiedzanie;Kair
320;Egyptian Museum;70;Muzeum prezentujące skarby starożytnego Egiptu.;Zwiedzanie;Kair
321;Old Kair;0;Historyczna część miasta z wąskimi uliczkami.;Zwiedzanie;Kair
322;Khan el-Khalili Bazaar;0;Tradycyjny targ z rękodziełem i przyprawami.;Zakupy;Kair
323;Saladin Citadel;50;Imponująca forteca z widokiem na Kair.;Zwiedzanie;Kair
324;Al-Azhar Mosque;0;Jedna z najstarszych meczetów, centrum edukacyjne.;Zwiedzanie;Kair
325;Islamic Art Museum;40;Muzeum prezentujące sztukę muzułmańską.;Zwiedzanie;Kair
326;Al-Azhar Gardens;0;Spokojne ogrody w otoczeniu zabytków.;Rekreacja;Kair
327;Muhammad Ali Mosque;60;Znany meczet w Cytadeli Saladin, imponujący architektonicznie.;Zwiedzanie;Kair
328;Coptic Kair;0;Stara dzielnica z cerkwiami i muzeami koptyjskimi.;Zwiedzanie;Kair
329;Mameluk Palace;30;Historyczny pałac z epoki Mameluków.;Zwiedzanie;Kair
330;Nile Cruise;80;Rejs po Nilu z widokiem na zabytki i przyrodę.;Rozrywka;Kair
331;Coptic Museum;35;Muzeum prezentujące historię i sztukę koptyjską.;Zwiedzanie;Kair
332;Al-Azhar Park;0;Zielona przestrzeń do relaksu w centrum miasta.;Rekreacja;Kair
333;Ibn Tulun Mosque;40;Jedna z najstarszych budowli islamskich w Egipcie.;Zwiedzanie;Kair
334;Kair History Museum;45;Muzeum dokumentujące dzieje Kairu.;Zwiedzanie;Kair
335;Mokattam Hill;0;Naturalne wzgórze z panoramicznym widokiem na Kair.;Rekreacja;Kair
336;Kair Oasis;0;Regiony zieleni wokół miasta.;Rekreacja;Kair
337;Heliopolis Modern District;0;Przykład współczesnej architektury w Kairze.;Zwiedzanie;Kair
338;Gateway of India;80;Imponujący łuk triumfalny nad brzegiem morza.;Zwiedzanie;Mumbaj
339;Chhatrapati Shivaji Terminus;0;Historyczny dworzec kolejowy o wiktoriańskiej architekturze.;Zwiedzanie;Mumbaj
340;Marine Drive;0;Popularna promenada nad Zatoką Arabską.;Rekreacja;Mumbaj
341;Elephanta Caves;162;Jaskinie z rzeźbami hinduskimi na wyspie.;Zwiedzanie;Mumbaj
342;Haji Ali Dargah;0;Sanktuarium religijne usytuowane na wysepce.;Zwiedzanie;Mumbaj
343;Crawford Market;0;Targ z lokalnymi produktami i wyrobami.;Zakupy;Mumbaj
344;Colaba Causeway;0;Znana ulica handlowa z pamiątkami.;Zakupy;Mumbaj
345;Mani Bhavan Gandhi Museum;40;Muzeum poświęcone życiu Mahatmy Gandhiego.;Zwiedzanie;Mumbaj
346;Prince of Wales Museum;50;Muzeum prezentujące historię Indii.;Zwiedzanie;Mumbaj
347;Juhu Beach;0;Popularna plaża w Mumbaju.;Plażowanie;Mumbaj
348;Sanjay Gandhi National Park;60;Park narodowy z dziką przyrodą i szlakami.;Rekreacja;Mumbaj
349;Hanging Gardens;0;Romantyczne ogrody z widokiem na miasto.;Rekreacja;Mumbaj
350;Bandra-Worli Sea Link;0;Nowoczesna konstrukcja łącząca dzielnice Mumbaju.;Zwiedzanie;Mumbaj
351;Siddhivinayak Temple;30;Świątynia hinduska poświęcona bogu Ganeszy.;Zwiedzanie;Mumbaj
352;Mahalaxmi Dhobi Ghat;0;Unikalny kompleks pralniczy o tradycyjnym charakterze.;Kultura;Mumbaj
353;Banganga Tank;0;Historyczne zbiorniki wodne otoczone starożytną architekturą.;Zwiedzanie;Mumbaj
354;Dr. Bhau Daji Lad Museum;35;Muzeum prezentujące sztukę i rzemiosło Mumbaju.;Zwiedzanie;Mumbaj
355;Worli Sea Face;0;Miejsce spacerowe z widokiem na morze.;Rekreacja;Mumbaj
356;Chor Bazaar;0;Targ znany z antyków i unikatowych przedmiotów.;Zakupy;Mumbaj
357;Kamala Nehru Park;20;Rodzinny park z widokiem na panoramę miasta.;Rekreacja;Mumbaj
358;Gyeongbokgung Palace;80;Imponujący pałac królewski z tradycyjną koreańską architekturą.;Zwiedzanie;Seul
359;Bukchon Hanok Village;0;Tradycyjna wioska z zachowanymi domami hanok.;Zwiedzanie;Seul
360;Myeongdong Shopping Street;0;Tętniąca życiem ulica handlowa z modnymi butikami.;Zakupy;Seul
361;N Seul Tower;90;Wieża widokowa oferująca panoramiczne widoki na miasto.;Zwiedzanie;Seul
362;Changdeokgung Palace;60;Historyczny pałac z pięknymi ogrodami.;Zwiedzanie;Seul
363;Hongdae;0;Dzielnica artystyczna znana z klubów i ulicznych występów.;Kultura;Seul
364;Insadong;0;Tradycyjna dzielnica z antykami, herbaciarniami i galeriami.;Kultura;Seul
365;Dongdaemun Design Plaza;0;Nowoczesne centrum designu i mody.;Zwiedzanie;Seul
366;Itaewon;0;Multikulturowa dzielnica z licznymi restauracjami.;Kultura;Seul
367;Cheonggyecheon Stream;0;Odzyskany strumień w centrum miasta, idealny na spacery.;Rekreacja;Seul
368;Lotte World Tower;120;Najwyższy budynek w Seulu z tarasem widokowym.;Zwiedzanie;Seul
369;COEX Mall;0;Ogromne centrum handlowe z atrakcjami rozrywkowymi.;Zakupy;Seul
370;Bongeunsa Temple;40;Spokojna świątynia buddyjska w sercu Seulu.;Zwiedzanie;Seul
371;Gangnam District;0;Nowoczesna dzielnica znana z luksusowych butików.;Zakupy;Seul
372;Olympic Park;0;Rozległy park upamiętniający igrzyska olimpijskie.;Rekreacja;Seul
373;Seul Forest;30;Nowoczesny park miejski z ogrodami i trasami spacerowymi.;Rekreacja;Seul
374;War Memorial of Korea;35;Muzeum poświęcone historii konfliktów Korei.;Zwiedzanie;Seul
375;Namdaemun Market;0;Tradycyjny targ z szerokim asortymentem towarów.;Zakupy;Seul
376;Digital Media City;0;Nowoczesna dzielnica skupiająca firmy medialne i technologiczne.;Kultura;Seul
377;Seullo 7017;0;Przebudowany dawny most pieszy z widokami na miasto.;Rekreacja;Seul
378;Praga Castle;80;Imponujący kompleks zamkowy dominujący nad Pragą.;Zwiedzanie;Praga
379;Charles Bridge;0;Historyczny most łączący Stare Miasto z Mala Strana.;Zwiedzanie;Praga
380;Old Town Square;0;Centralny plac z zegarem astronomicznym.;Zwiedzanie;Praga
381;St. Vitus Cathedral;50;Imponująca katedra na terenie Zamku Praskiego.;Zwiedzanie;Praga
382;Golden Lane;40;Urokliwa uliczka z małymi domkami, dawniej zamieszkiwana przez rzemieślników.;Zwiedzanie;Praga
383;Old Town;0;Historyczna część miasta z brukowanymi uliczkami.;Zwiedzanie;Praga
384;Wenceslas Square;0;Główny plac handlowy i kulturalny Pragi.;Rekreacja;Praga
385;Jewish Quarter;60;Historyczna dzielnica z synagogami i muzeami.;Zwiedzanie;Praga
386;Petřín Hill;0;Wzgórze z pięknymi ogrodami i widokiem na Pragę.;Rekreacja;Praga
387;Petřín Lookout Tower;30;Mała wieża widokowa na szczycie Petřína.;Zwiedzanie;Praga
388;National Museum Praga;70;Muzeum prezentujące historię i kulturę Czech.;Zwiedzanie;Praga
389;Old Town Hall;0;Historyczny budynek z zabytkowymi zegarami.;Zwiedzanie;Praga
390;Botanical Garden Praga;0;Spokojny ogród z roślinnością z całego świata.;Rekreacja;Praga
391;Wild Gardens;0;Nieformalne przestrzenie zielone w sercu miasta.;Rekreacja;Praga
392;New Town District;0;Nowoczesna część Pragi z alternatywną atmosferą.;Kultura;Praga
393;Lennon Wall;0;Mur z inspirującymi napisami, symbol wolności artystycznej.;Kultura;Praga
394;Troja Castle;40;Mniejszy zamek zlokalizowany na obrzeżach Pragi.;Zwiedzanie;Praga
395;New World;0;Modna ulica pełna butików i kawiarni.;Zakupy;Praga
396;City Zoo Praga;50;Zoo z szeroką gamą zwierząt z różnych kontynentów.;Zwiedzanie;Praga
397;Vyšehrad;0;Historyczna forteca z malowniczymi widokami na Pragę.;Zwiedzanie;Praga
398;Schönbrunn Palace;120;Była letnia rezydencja cesarska z rozległymi ogrodami.;Zwiedzanie;Wiedeń
399;St. Stephen's Cathedral;40;Gotycka katedra w sercu Wiednia.;Zwiedzanie;Wiedeń
400;Hofburg Palace;80;Kompleks pałacowy, siedziba dawnych cesarzy.;Zwiedzanie;Wiedeń
401;Belvedere Palace;70;"Barokowy pałac z kolekcją dzieł sztuki, m.in. ""Pocałunem"" Klimta.";Zwiedzanie;Wiedeń
402;Wiedeń State Opera;100;Wybitna opera w pięknym budynku.;Rozrywka;Wiedeń
403;Prater;0;Park rozrywki z słynnym diabelskim młynem.;Rozrywka;Wiedeń
404;Albertina Museum;60;Muzeum z jedną z największych kolekcji grafik na świecie.;Zwiedzanie;Wiedeń
405;Karlskirche;30;Barokowy kościół z imponującą kopułą.;Zwiedzanie;Wiedeń
406;Wiedeń Zoo;70;Najstarsze zoo na świecie, mieszczące się na terenie Schönbrunn.;Zwiedzanie;Wiedeń
407;MuseumsQuartier;0;Kulturalne centrum Wiednia z galeriami i kawiarniami.;Kultura;Wiedeń
408;Graben;0;Elegancka ulica handlowa w centrum Wiednia.;Zakupy;Wiedeń
409;Naschmarkt;0;Tętniący życiem targ z międzynarodową kuchnią.;Kulinaria;Wiedeń
410;Stephansplatz;0;Plac otoczony zabytkowymi budynkami i sklepami.;Zwiedzanie;Wiedeń
411;Kunsthistorisches Museum;80;Muzeum sztuki ze znakomitą kolekcją dzieł starych mistrzów.;Zwiedzanie;Wiedeń
412;Leopold Museum;60;Muzeum sztuki współczesnej, szczególnie austriackiej.;Zwiedzanie;Wiedeń
413;Wiedeń Ring Road;0;Słynna droga okrężna otaczająca centrum miasta.;Zwiedzanie;Wiedeń
414;Spanish Riding School;90;Tradycyjna szkoła jazdy konnej prezentująca klasyczne ukazy.;Zwiedzanie;Wiedeń
415;St. Peter's Church;0;Historyczny kościół z pięknymi witrażami.;Zwiedzanie;Wiedeń
416;Augarten Park;0;Spokojny park z ogrodami i historycznymi manufakturami.;Rekreacja;Wiedeń
417;Donauturm;90;Wieża widokowa na Dunaju z restauracją na szczycie.;Zwiedzanie;Wiedeń
418;Hungarian Parliament Building;70;Imponujący budynek parlamentu nad Dunajem.;Zwiedzanie;Budapeszt
419;Fisherman's Bastion;50;Historyczna konstrukcja z pięknymi widokami na miasto.;Zwiedzanie;Budapeszt
420;Buda Castle;60;Historyczny kompleks zamkowy z muzeami i ogrodami.;Zwiedzanie;Budapeszt
421;Széchenyi Thermal Bath;100;Słynne termy z basenami o właściwościach leczniczych.;Rekreacja;Budapeszt
422;Chain Bridge;0;Ikoniczny most łączący oba brzegi Dunaju.;Zwiedzanie;Budapeszt
423;St. Stephen's Basilica;40;Imponujący kościół z pięknymi witrażami.;Zwiedzanie;Budapeszt
424;Gellért Hill;0;Wzgórze z panoramicznym widokiem na miasto.;Rekreacja;Budapeszt
425;Central Market Hall;0;Targ z lokalnymi produktami i przysmakami.;Zakupy;Budapeszt
426;Hungarian National Museum;60;Muzeum prezentujące historię Węgier.;Zwiedzanie;Budapeszt
427;Opera House;80;Prestiżowy teatr operowy o światowej renomie.;Rozrywka;Budapeszt
428;City Park (Városliget);0;Rozległy park z atrakcjami rekreacyjnymi.;Rekreacja;Budapeszt
429;Dohány Street Synagogue;40;Największa synagoga w Europie, miejsce pamięci.;Zwiedzanie;Budapeszt
430;Margaret Island;0;Zielona oaza na Dunaju, idealna na spacery.;Rekreacja;Budapeszt
431;Hungarian State Opera;0;Nowoczesna scena operowa z licznymi występami.;Rozrywka;Budapeszt
432;Heroes' Square;0;Plac upamiętniający węgierskich bohaterów narodowych.;Zwiedzanie;Budapeszt
433;Hungarian National Gallery;60;Muzeum sztuki z kolekcją dzieł narodowych.;Zwiedzanie;Budapeszt
434;Vajdahunyad Castle;0;Zamek mieszczący się w parku, o ciekawym wyglądzie.;Zwiedzanie;Budapeszt
435;Liberty Bridge;0;Historyczny most łączący dwie części miasta.;Zwiedzanie;Budapeszt
436;Kazinczy Street Market;0;Lokalny targ z rękodziełem i produktami spożywczymi.;Zakupy;Budapeszt
437;Andrassy Avenue;0;Elegancka aleja z luksusowymi butikami.;Zakupy;Budapeszt
438;Torre de Belém;50;Historyczna wieża nad Tagiem, symbol odkryć geograficznych.;Zwiedzanie;Lizbona
439;Mosteiro dos Jerónimos;60;Klasyczny klasztor o bogatej historii i architekturze.;Zwiedzanie;Lizbona
440;Alfama District;0;Najstarsza dzielnica Lizbony z wąskimi uliczkami.;Zwiedzanie;Lizbona
441;Praça do Comércio;0;Przestronny plac nad Tagiem, serce historycznego centrum.;Zwiedzanie;Lizbona
442;Elevador de Santa Justa;30;Historyczna winda łącząca różne poziomy miasta.;Zwiedzanie;Lizbona
443;Castelo de São Jorge;70;Zamek z widokiem na całą Lizbonę.;Zwiedzanie;Lizbona
444;Bairro Alto;0;Dzielnica znana z nocnego życia i restauracji.;Rozrywka;Lizbona
445;LX Factory;0;Kreatywna przestrzeń z butikami, galeriami i kawiarniami.;Kultura;Lizbona
446;Oceanário de Lisboa;80;Nowoczesne akwarium prezentujące morską faunę.;Zwiedzanie;Lizbona
447;Museu Nacional do Azulejo;40;Muzeum poświęcone tradycyjnym portugalskim płytkom ceramicznym.;Zwiedzanie;Lizbona
448;Padrão dos Descobrimentos;30;Monument upamiętniający epokę wielkich odkryć.;Zwiedzanie;Lizbona
449;Chiado;0;Elegancka dzielnica kulturalna z kawiarniami i teatrami.;Kultura;Lizbona
450;Jardim Botânico da Universidade de Lisboa;20;Ogród botaniczny pełen egzotycznych roślin.;Rekreacja;Lizbona
451;Mercado da Ribeira;0;Targ gastronomiczny z ofertą lokalnych specjałów.;Kulinaria;Lizbona
452;Fado Museum;35;Muzeum poświęcone tradycyjnej muzyce fado.;Kultura;Lizbona
453;Cais do Sodré;0;Modna dzielnica nadbrzeżna z restauracjami i barami.;Rozrywka;Lizbona
454;Santa Luzia Viewpoint;0;Punkt widokowy z malowniczymi panoramami miasta.;Zwiedzanie;Lizbona
455;Calouste Gulbenkian Museum;60;Muzeum ze znakomitą kolekcją sztuki i artefaktów.;Zwiedzanie;Lizbona
456;Parque das Nações;0;Nowoczesna dzielnica z przestrzeniami rekreacyjnymi i kulturalnymi.;Rekreacja;Lizbona
457;Miradouro da Senhora do Monte;0;Punkt widokowy z przepięknym widokiem na Lizbonę.;Zwiedzanie;Lizbona
458;Stanley Park;0;Ogromny park miejski z trasami rowerowymi i widokiem na ocean.;Rekreacja;Vancouver
459;Granville Island;0;Kulturalne centrum z targiem, galeriami i teatrem.;Kultura;Vancouver
460;Capilano Suspension Bridge;120;Słynny most wiszący nad kanionem.;Zwiedzanie;Vancouver
461;Vancouver Aquarium;100;Akwarium z bogatą kolekcją morskich stworzeń.;Zwiedzanie;Vancouver
462;Grouse Mountain;140;Góra z atrakcjami zimowymi i tarasem widokowym.;Zwiedzanie;Vancouver
463;Canada Place;0;Ikoniczny kompleks nadbrzeżny z widowiskowym widokiem na ocean.;Zwiedzanie;Vancouver
464;Vancouver Art Gallery;80;Muzeum sztuki prezentujące prace kanadyjskie i międzynarodowe.;Zwiedzanie;Vancouver
465;Gastown;0;Historyczna dzielnica z brukowanymi uliczkami.;Kultura;Vancouver
466;English Bay Beach;0;Popularna plaża miejska idealna do opalania i sportów wodnych.;Plażowanie;Vancouver
467;Science World;70;Interaktywne muzeum nauki.;Zwiedzanie;Vancouver
